appearance_id,object_id,relation_type,confidence
APP-005333079AA9,IBI-C6D59D673FF8,primary,1.0
APP-0073BB6C1CFE,IBI-C8BAC4677D5B,primary,1.0
APP-00992F95754F,IBI-CD3E2F90BE86,primary,1.0
APP-00AE16D1AD5C,IBI-453035C1DDED,primary,1.0
APP-00CC29CA1C24,IBI-C9CBD8EB2190,primary,1.0
APP-01220D999314,IBI-10A05AFD0BE2,primary,1.0
APP-01346239DE73,IBI-BBB46EF28115,primary,1.0
APP-0154647C398F,IBI-AA3FC953DA0F,primary,1.0
APP-015C55856681,IBI-C0CEB7F095BD,primary,1.0
APP-019151EE49B9,IBI-30FB7BC72D53,primary,1.0
APP-0199BC2DD6A8,IBI-16F45724A603,primary,1.0
APP-01B67FF49D78,IBI-88505642BE2E,primary,1.0
APP-01C83730C1F8,IBI-5DA6D4C914F4,primary,1.0
APP-01EC4A21E415,IBI-935792C842AB,primary,1.0
APP-024D02C15A38,IBI-21905513ABB4,primary,1.0
APP-0253493D2916,IBI-653C0F4DAF6F,primary,1.0
APP-025417AAF0E4,IBI-96F3DBB22B61,primary,1.0
APP-025F4CB1403C,IBI-E8D5C937721A,primary,1.0
APP-026840ABD522,IBI-770EFE0D1A29,primary,1.0
APP-02ADCEEA1DBA,IBI-FB27FC73F393,primary,1.0
APP-02B0C15ADFD1,IBI-E79D5A7D8874,primary,1.0
APP-036EBAD7F914,IBI-7AF2C3E31FDD,primary,1.0
APP-042E7FCC8386,IBI-3DF53470BB36,primary,1.0
APP-0456B3A2D58E,IBI-19E101F5D705,primary,1.0
APP-046C5DF14B68,IBI-21AC145272C3,primary,1.0
APP-04BA91F21938,IBI-DD8AA3CB0C93,primary,1.0
APP-05583228B981,IBI-0E7150957331,primary,1.0
APP-055AAAE40710,IBI-B8793C833977,primary,1.0
APP-0561F98655E7,IBI-5668DFCF5849,primary,1.0
APP-058D5937C09E,IBI-F6520BBAE95D,primary,1.0
APP-05A6A70E41BE,IBI-76FB63CDA695,primary,1.0
APP-05BD1FCE8DB5,IBI-35F76F0F9D47,primary,1.0
APP-05E2CD802E1D,IBI-C8B395024F41,primary,1.0
APP-05E62BA762CE,IBI-C50A3FF109FA,primary,1.0
APP-0660F3F61A00,IBI-F2B94432A053,primary,1.0
APP-06614E9AA5E9,IBI-A8BE9F6FA177,primary,1.0
APP-067B68E8D52B,IBI-F5126391366F,primary,1.0
APP-06EF4BC23B1D,IBI-51D534C82D43,primary,1.0
APP-07648364502C,IBI-6C4D8112FFE2,primary,1.0
APP-0764AA3EFCD8,IBI-C0936EFE772B,primary,1.0
APP-0785D5713827,IBI-24806B38E295,primary,1.0
APP-0793AD650B2E,IBI-079F0B82D514,primary,1.0
APP-079C5F245AF7,IBI-7C5D3911148E,primary,1.0
APP-07A0BD3CAEDC,IBI-B54D497CC676,primary,1.0
APP-07C0D5854081,IBI-374B7E79C69C,primary,1.0
APP-07DEAB9C072C,IBI-B8D8FA942816,primary,1.0
APP-081E397CF9A3,IBI-09C22FFFD031,primary,1.0
APP-085C030DC022,IBI-5689D7C131FC,primary,1.0
APP-08C76009E09E,IBI-05F37B54B501,primary,1.0
APP-08CDED538612,IBI-EF45888FA247,primary,1.0
APP-091F063B145C,IBI-087C6E4D7329,primary,1.0
APP-092726F460B9,IBI-21F04F566A66,primary,1.0
APP-0928AC66368D,IBI-1BCA06F4C6A3,primary,1.0
APP-096B30B199E3,IBI-0B9D7E67D854,primary,1.0
APP-096E5E45B639,IBI-C2906E4D88F3,primary,1.0
APP-09F7BDAE8FB6,IBI-BBF9CDFE55F2,primary,1.0
APP-0A125C62797A,IBI-FB4728FAE732,primary,1.0
APP-0A43FA9147C8,IBI-1096AC7149EC,primary,1.0
APP-0A4D0C1FE3E3,IBI-3DA1CA1060F5,primary,1.0
APP-0A7A5EB29C20,IBI-3180DEB24604,primary,1.0
APP-0AA111F6F5D7,IBI-8DF5C0C9CF56,primary,1.0
APP-0AA4D6F5B83E,IBI-B8589C86CB61,primary,1.0
APP-0AC30F161C91,IBI-5AF31C15BFED,primary,1.0
APP-0B0C592D397A,IBI-13F4F4F65D1E,primary,1.0
APP-0B40B448970A,IBI-C6C1AF3BCF87,primary,1.0
APP-0B7B14ED167D,IBI-F901D66AA611,primary,1.0
APP-0B95A087377D,IBI-9E6B264AC989,primary,1.0
APP-0BA0424A178C,IBI-D227A0BAF003,primary,1.0
APP-0BA0B1C86D21,IBI-ACA1B364B420,primary,1.0
APP-0BB258B7AC9E,IBI-FAF1F23148E0,primary,1.0
APP-0C3A807536F6,IBI-4F5841D575F1,primary,1.0
APP-0C3EF3744230,IBI-CE55DA25E681,primary,1.0
APP-0C6C43E6CE00,IBI-64889DD64911,primary,1.0
APP-0C6E6DC70494,IBI-4D931CBC1484,primary,1.0
APP-0C8F093343BD,IBI-B0EE89AC95F3,primary,1.0
APP-0CAC8F17F612,IBI-FCB1031090E2,primary,1.0
APP-0CB328E857D3,IBI-7B5FC6F7A0FA,primary,1.0
APP-0CF7130E8FA3,IBI-1D6F5E86F410,primary,0.8
APP-0D065E8F1E38,IBI-ECFA9901D4DC,primary,1.0
APP-0D11C344DF8D,IBI-07301A4A71CD,primary,1.0
APP-0D1DD71C5A89,IBI-23F08045C39F,primary,1.0
APP-0D6521BE33C9,IBI-6E087B8C539F,primary,1.0
APP-0D72E556560C,IBI-95E9F42816BF,primary,1.0
APP-0DB0C5A859CA,IBI-39B896F4912E,primary,1.0
APP-0E2655812B30,IBI-73D2DAE13663,primary,1.0
APP-0E5A220264FA,IBI-4D29382AEC22,primary,1.0
APP-0EAD427A74EB,IBI-E562B6AEEFAF,primary,1.0
APP-0EBD15DC167E,IBI-387C18B11F84,primary,1.0
APP-0F17828055F3,IBI-F7A591665533,primary,1.0
APP-0F7DD7AEB0FE,IBI-2A62E7C24655,primary,1.0
APP-0FAEA34776A0,IBI-74947CF1C998,primary,1.0
APP-105132C32B99,IBI-F3A1502F1715,primary,1.0
APP-1068E3DBBB79,IBI-75FA7EAA1BF4,primary,1.0
APP-1077F0DCA304,IBI-FB4EFCE9FCBD,primary,1.0
APP-10B39EF6ED80,IBI-B76674787AA7,primary,1.0
APP-10BD3AC03513,IBI-B6AABE2F395E,primary,1.0
APP-10F5B3181D3C,IBI-130DFB1D1802,primary,1.0
APP-110163756E00,IBI-0C49F8862A63,primary,1.0
APP-11128341D873,IBI-43E5EECA50BC,primary,1.0
APP-116959B934A7,IBI-83A0A347B7C4,primary,1.0
APP-11916763AC9B,IBI-BA91CB9E218A,primary,1.0
APP-11C2BA3EFA69,IBI-1D51C8E225EE,primary,1.0
APP-11E572A33B59,IBI-0A4D195A6EE6,primary,1.0
APP-128E0FCC3D26,IBI-5F31615726F1,primary,1.0
APP-12AB062B61C1,IBI-F031C44350BC,primary,1.0
APP-12BF5D03BB52,IBI-ED159D8FF42E,primary,1.0
APP-12FD83A18D0E,IBI-4804CC31F58D,primary,1.0
APP-1310B7191112,IBI-E135C0EA9CED,primary,1.0
APP-132331BD62FE,IBI-F1D80CD0C95B,primary,1.0
APP-134301CEFF4B,IBI-3F577A400110,primary,1.0
APP-134B03DEDDB6,IBI-99CA1DB9C484,primary,1.0
APP-1353381AE627,IBI-C6E5B1BD164C,primary,1.0
APP-136FFF349D20,IBI-8746509B00D1,primary,1.0
APP-13AE5C78C583,IBI-70A33619FA7E,primary,1.0
APP-13C6D373D189,IBI-E5149EBE4E1A,primary,1.0
APP-1402D7F3E06E,IBI-2D80EA4F1D86,primary,1.0
APP-1424E136E25B,IBI-0F72CC248889,primary,1.0
APP-14344DB7C16F,IBI-8E5308A4A137,primary,1.0
APP-14719E1AB6B5,IBI-358AAAF4ED2B,primary,1.0
APP-14CE864BC206,IBI-583417FC78CB,primary,1.0
APP-1532BF60422C,IBI-69BD5A4C197B,primary,1.0
APP-1541707BE3BC,IBI-D97F4DC17DD3,primary,1.0
APP-155E2F340767,IBI-E2E80DC27E79,primary,1.0
APP-156279AE6807,IBI-41EF9D3D3B97,primary,1.0
APP-15C1F2EE7433,IBI-8DBB2FDDBA64,primary,1.0
APP-160B0C67DFD2,IBI-FFC896350AFE,primary,1.0
APP-160D3DD6AEA0,IBI-2AF0C10043BB,primary,1.0
APP-161936A43764,IBI-D598DA57FA0E,primary,1.0
APP-164B5FD2D2D5,IBI-EEEC822AEAA9,primary,1.0
APP-16592BAB8739,IBI-834E8999515E,primary,1.0
APP-166F991307E1,IBI-5C4F91E6067E,primary,1.0
APP-16FF15569941,IBI-4A2F6AC1F208,primary,1.0
APP-174A7A992ADB,IBI-3E0C956BD836,primary,1.0
APP-1751A2BB0AEB,IBI-32F8164EAC5E,primary,1.0
APP-178EA3C828CE,IBI-20892526C235,primary,1.0
APP-17BD83A8E95C,IBI-A7984F33DE55,primary,1.0
APP-17FADEC6575A,IBI-DD170995141F,primary,1.0
APP-1824153FEC59,IBI-E132B79EADD2,primary,1.0
APP-184712E80005,IBI-E7FD7B539EF2,primary,1.0
APP-18678FADBB78,IBI-5C8B8D7464F2,primary,1.0
APP-18B616BE2229,IBI-935792C842AB,primary,0.8
APP-18F5673DA4D4,IBI-898FA72381ED,primary,1.0
APP-190E5D39A2E9,IBI-E18000741DAB,primary,1.0
