id,source_id,locator
APP-005333079AA9,SRC-72D809FB4249,text 029A; section pp. 43–102
APP-0073BB6C1CFE,SRC-1B1888AA7E76,inventory 8324
APP-00992F95754F,SRC-3A8095B6D794,index entry MS2053/164
APP-00AE16D1AD5C,SRC-375868B5C1C1,MMS 997008712405905171
APP-00CC29CA1C24,SRC-195B6B6E19A1,pp. 159–165
APP-01220D999314,SRC-0ACFB1709242,Penn web object 257210
APP-01346239DE73,SRC-F09573688FD1,abstract; object 626–S
APP-0154647C398F,SRC-72D809FB4249,text 028A; section pp. 43–102
APP-015C55856681,SRC-72D809FB4249,text 117ES; section pp. 147–149
APP-019151EE49B9,SRC-54D3E0493BC1,MMS 997008712546505171
APP-0199BC2DD6A8,SRC-77CADCC57C0B,MMS 997008712545305171
APP-01B67FF49D78,SRC-72D809FB4249,text 044A; section pp. 43–102
APP-01C83730C1F8,SRC-0BB014E762FF,Penn web object 189411
APP-01EC4A21E415,SRC-3A8095B6D794,index entry MS2053/103
APP-024D02C15A38,SRC-BAD4DDB58937,MMS 997008712396205171
APP-0253493D2916,SRC-73C44B143A9D,"p. 157, distribution table, JBA 42"
APP-025417AAF0E4,SRC-3A8095B6D794,index entry MS1928/8
APP-025F4CB1403C,SRC-73C44B143A9D,"p. 155, distribution table, CAMIB 23"
APP-026840ABD522,SRC-72D809FB4249,text 017A; section pp. 43–102
APP-02ADCEEA1DBA,SRC-6D313A7AA389,"p. 1, item 17"
APP-02B0C15ADFD1,SRC-66B24D951AFE,Penn web object 93146
APP-036EBAD7F914,SRC-3D4B57D27A24,Related objects: 1881-0714-1
APP-042E7FCC8386,SRC-1B660EA75317,MMS 997008712546005171
APP-0456B3A2D58E,SRC-73C44B143A9D,"p. 154, distribution table, AMB 11"
APP-046C5DF14B68,SRC-3A8095B6D794,index entry BM055A
APP-04BA91F21938,SRC-BCC98AAE8C40,article: bowl 7 of seven-object Klagsbald donation
APP-05583228B981,SRC-4E17491A7466,Penn web object 199797
APP-055AAAE40710,SRC-72D809FB4249,text 046A; section pp. 43–102
APP-0561F98655E7,SRC-B341F40EFEF5,Penn web object 252830
APP-058D5937C09E,SRC-6D313A7AA389,"p. 2, item 35"
APP-05A6A70E41BE,SRC-CC5AB88F01DC,Penn web object 161879
APP-05BD1FCE8DB5,SRC-72D809FB4249,text 025A; section pp. 43–102
APP-05E2CD802E1D,SRC-16E6FD74D61C,"project page, bowl 2 of 4"
APP-05E62BA762CE,SRC-0EFFDC54B348,dealer ref. 6412
APP-0660F3F61A00,SRC-72D809FB4249,text 127Ps; section pp. 150–162
APP-06614E9AA5E9,SRC-4C8646D12939,"Object of the Month, April 2024"
APP-067B68E8D52B,SRC-3A8095B6D794,index entry AIT27
APP-06EF4BC23B1D,SRC-CC6F5DF593C9,MMS 997008712397005171
APP-07648364502C,SRC-943673B56FB8,"p. 324, item 22"
APP-0764AA3EFCD8,SRC-A90AB34CA3FE,"p. 134, note 546; designation Berlin XI-t 5178"
APP-0785D5713827,SRC-3A8095B6D794,index entry MSFB23
APP-0793AD650B2E,SRC-943673B56FB8,"p. 325, item 31"
APP-079C5F245AF7,SRC-0148A161BFB8,Penn web object 277251
APP-07A0BD3CAEDC,SRC-943673B56FB8,"p. 322, item 9"
APP-07C0D5854081,SRC-3D4B57D27A24,Related objects: 1980-0415-31-f
APP-07DEAB9C072C,SRC-3D4B57D27A24,Related objects: 1851-0903-3
APP-081E397CF9A3,SRC-A90AB34CA3FE,"p. 102, table 6, NFP 1"
APP-085C030DC022,SRC-84678662059D,object W_1851-0903-2
APP-08C76009E09E,SRC-F1C5AEABA349,MMS 997008712400405171
APP-08CDED538612,SRC-588C4286D26F,MMS 997008712398805171
APP-091F063B145C,SRC-73C44B143A9D,"p. 153, distribution table, Isbell 19"
APP-092726F460B9,SRC-899462FAA735,"p. 138, table 8.1: 18N20"
APP-0928AC66368D,SRC-078B374442E9,MMS 997008712399205171
APP-096B30B199E3,SRC-73C44B143A9D,"p. 154, distribution table, MSF 22"
APP-096E5E45B639,SRC-73C44B143A9D,"p. 155, distribution table, CAMIB 40"
APP-09F7BDAE8FB6,SRC-8BED62342B9F,MMS 997008712404605171
APP-0A125C62797A,SRC-73C44B143A9D,"p. 158, distribution table, JBA 75"
APP-0A43FA9147C8,SRC-73C44B143A9D,"p. 157, distribution table, JBA 12"
APP-0A4D0C1FE3E3,SRC-FB14E097C4E0,Penn web object 220768
APP-0A7A5EB29C20,SRC-C54888E36130,MS 2053/196 context: MS 2053/14
APP-0AA111F6F5D7,SRC-C54888E36130,MS 2053/196 context: MS 2053/158
APP-0AA4D6F5B83E,SRC-F9433CD2204F,Penn web object 180736
APP-0AC30F161C91,SRC-3A8095B6D794,index entry AIT7
APP-0B0C592D397A,SRC-312A054517F1,Penn web object 303321
APP-0B40B448970A,SRC-B77B1B8DBC8E,Penn web object 303320
APP-0B7B14ED167D,SRC-72D809FB4249,text 134Ps; section pp. 150–162
APP-0B95A087377D,SRC-855C75734A1F,Penn web object 157174
APP-0BA0424A178C,SRC-72E772B0D8BB,MMS 997008712402205171
APP-0BA0B1C86D21,SRC-7E7849278752,MMS 997008712397105171
APP-0BB258B7AC9E,SRC-3A8095B6D794,index entry Gor11
APP-0C3A807536F6,SRC-01E58FA07682,"IBC 3, pp. 417–432"
APP-0C3EF3744230,SRC-F20148C5DA92,"lot 273, fragment 4 of 5"
APP-0C6C43E6CE00,SRC-932479553867,Penn web object 136538
APP-0C6E6DC70494,SRC-73C44B143A9D,"p. 161, distribution table, XI-t 5178"
APP-0C8F093343BD,SRC-D6A39C85BB80,MMS 997008712545905171
APP-0CAC8F17F612,SRC-7314F33C6D82,object W_1980-0415-8
APP-0CB328E857D3,SRC-3D4B57D27A24,Related objects: 1851-1009-97
APP-0D065E8F1E38,SRC-E715F5369D95,Penn web object 156577
APP-0D11C344DF8D,SRC-3A8095B6D794,index entry AMBB9
APP-0D1DD71C5A89,SRC-3D4B57D27A24,Related objects: 1980-0415-9
APP-0D6521BE33C9,SRC-943673B56FB8,"p. 326, item 35"
APP-0D72E556560C,SRC-C54888E36130,MS 2053/196 context: MS 2053/70
APP-0DB0C5A859CA,SRC-73C44B143A9D,"p. 153, distribution table, Isbell 08"
APP-0E2655812B30,SRC-72D809FB4249,text 069A; section pp. 43–102
APP-0E5A220264FA,SRC-C19E7D2FAC8D,Penn web object 55090
