contributor_key,display_name,spellings,works,objects_published,first_year,last_year,needs_check
"ford,j",James Nathan Ford,"[""J. N. Ford"", ""James Nathan Ford""]",15,71,2002,2024,1
"levene,d",Dan Levene,"[""D. Levene"", ""Dan Levene"", ""Levene""]",14,0,1999,2018,1
"shaked,s",Shaul Shaked,"[""Shaked"", ""Shaked, Shaul"", ""Shaul Shaked""]",10,56,1987,2021,1
"bhayro,s",Siam Bhayro,"[""Siam Bhayro""]",10,49,2005,2025,0
"morgenstern,m",Matthew Morgenstern,"[""M. Morgenstern"", ""Matthew Morgenstern"", ""Morgenstern""]",9,19,2004,2019,1
"faraj,a",Ali H. Faraj,"[""A Faraj"", ""Ali Faraj"", ""Ali H. Faraj""]",8,1,2005,2025,1
"gordon,c","Gordon, Cyrus H","[""Gordon"", ""Gordon, Cyrus H""]",8,0,1934,1984,1
"moriggi,m",Marco Moriggi,"[""Marco Moriggi"", ""Moriggi"", ""Moriggi, Marco""]",7,4,2001,2024,1
"muller-kessler,c",Christa Müller-Kessler,"[""Christa Müller-Kessler"", ""Müller-Kessler"", ""Müller-Kessler, Christa""]",7,0,1994,2012,1
"hunter,e",Erica C. D. Hunter,"[""Erica C. D. Hunter""]",5,254,1994,2021,0
"manekin-bamberger,a",Avigail Manekin-Bamberger,"[""Avigail Manekin-Bamberger""]",5,0,2015,2025,0
"schwab,m",Moïse Schwab,"[""Moïse Schwab"", ""Schwab"", ""Schwab, Moïse""]",5,0,1882,1916,1
"saar,o",Ortal-Paz Saar,"[""Ortal-Paz Saar""]",5,0,2013,2024,0
"abousamra,g",Gaby Abousamra,"[""Abousamra"", ""Abousamra, Gaby"", ""Gaby Abousamra""]",4,1,2010,2019,1
"waller,d",Daniel J. Waller,"[""Daniel J. Waller"", ""Daniel James Waller""]",4,0,2019,2025,1
"geller,m",Markham J. Geller,"[""Geller"", ""Markham J. Geller""]",4,0,1976,1997,1
"harviainen,t",Tapani Harviainen,"[""Tapani Harviainen""]",4,0,1978,2015,0
