object_id,field,field_group,value,certainty,source_id,locator
IBI-007D77A72CEE,inscription_language,language,Mandaic,reported,SRC-72D809FB4249,text 089M; section pp. 103–146
IBI-009B8B1331CF,dimensions,dimensions,16.32 cm,reported,SRC-344728DC5548,DOI 10.25549/inscriptifact-ouc15259838
IBI-009B8B1331CF,material,material,Clay,reported,SRC-344728DC5548,DOI 10.25549/inscriptifact-ouc15259838
IBI-009B8B1331CF,provenance_summary,provenance,Unprovenanced,reported,SRC-344728DC5548,DOI 10.25549/inscriptifact-ouc15259838
IBI-009B8B1331CF,script_or_language,language,Syriac,reported,SRC-344728DC5548,DOI 10.25549/inscriptifact-ouc15259838
IBI-009F4BEB848B,current_location,location,Penn Museum,reported,SRC-469EB92E7F79,https://collections.penn.museum/collections/object/85195
IBI-009F4BEB848B,material,material,Ceramic; Ink,reported,SRC-469EB92E7F79,https://collections.penn.museum/collections/object/85195
IBI-00AF5AE402AB,catalogue_language_codes,language,heb,reported,SRC-168BAEA3242C,MMS 997008712547105171
IBI-00AF5AE402AB,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-168BAEA3242C,MMS 997008712547105171
IBI-00AF5AE402AB,dating,dating,400–899 CE,reported,SRC-168BAEA3242C,MMS 997008712547105171
IBI-00AF5AE402AB,dimensions,dimensions,Height 52 mm; source field ‘הקף’ 170 mm,reported,SRC-168BAEA3242C,MMS 997008712547105171
IBI-00D5EF90085E,catalogue_language_codes,language,heb,reported,SRC-CFD877FFC7B9,MMS 997008712407605171
IBI-00D5EF90085E,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-CFD877FFC7B9,MMS 997008712407605171
IBI-00D5EF90085E,dating,dating,400–899 CE,reported,SRC-CFD877FFC7B9,MMS 997008712407605171
IBI-00D5EF90085E,dimensions,dimensions,Height 51 mm; source field ‘הקף’ 160 mm,reported,SRC-CFD877FFC7B9,MMS 997008712407605171
IBI-00E095201103,current_location,location,Penn Museum,reported,SRC-172CBC220078,https://collections.penn.museum/collections/object/107954
IBI-00E095201103,material,material,Ceramic; Ink,reported,SRC-172CBC220078,https://collections.penn.museum/collections/object/107954
IBI-013FBB80706C,condition,condition,Broken and mended; a square fragment of text missing.,reported,SRC-943673B56FB8,"Catalogue, text 7, printed p. 322; PDF p. 328; description column"
IBI-013FBB80706C,current_or_reported_collection,location,Penn Museum,reported,SRC-943673B56FB8,"p. 322, item 7"
IBI-013FBB80706C,dimensions,dimensions,height 5.6 cm; diameter 15.7 cm,reported,SRC-943673B56FB8,"Catalogue, text 7, printed p. 322; PDF p. 328; size column (height by diameter)"
IBI-013FBB80706C,dimensions,dimensions,height 5.6 cm; diameter 15.7 cm,reported,SRC-943673B56FB8,"p. 322, item 7"
IBI-013FBB80706C,findspot,provenance,Nippur,reported,SRC-943673B56FB8,"p. 322, item 7"
IBI-013FBB80706C,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-943673B56FB8,"p. 322, item 7"
IBI-013FBB80706C,publication_register_identifier,publication,CBS 16007,reported,SRC-943673B56FB8,"Catalogue, text 7, printed p. 322; PDF p. 328; catalogue number column"
IBI-0169FFC4DF9F,biblical_quotation,biblical_intertexts,Zechariah 3:2,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/176
IBI-0169FFC4DF9F,current_location,location,The Schøyen Collection,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/176
IBI-01B582E3244E,inscription_language,language,Syriac?,uncertain,SRC-72D809FB4249,text 119ES; section pp. 147–149
IBI-01CFAFC981BF,client,client,Ngray,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,current_location,location,"Kelsey Museum of Archaeology, University of Michigan",reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,dating,dating,circa 3rd century CE,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,excavation_context,provenance,American excavations at Seleucia,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,findspot,provenance,"Seleucia, Iraq",reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,iconography,visual,Figure wearing an amulet and a key pendant,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,inscription_language,language,Aramaic,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01CFAFC981BF,text_purpose,ritual,Protection from illness,reported,SRC-AFDBED16E322,"p. 38, object KM 19504"
IBI-01E84A54F778,condition,condition,fragmentary,reported,SRC-3A8095B6D794,index entry BM066A
IBI-01F4DCFD953A,script,script,Pseudo-script,reported,SRC-72D809FB4249,text 130Ps; section pp. 150–162
IBI-01F91982BC30,current_location,location,Penn Museum,reported,SRC-69724CEA37F1,https://collections.penn.museum/collections/object/313325
IBI-01F91982BC30,material,material,Ceramic Ink,reported,SRC-69724CEA37F1,https://collections.penn.museum/collections/object/313325
IBI-021B030E5BF0,inscription_language,language,Aramaic,reported,SRC-72D809FB4249,text 035A; section pp. 43–102
IBI-021C540426A3,client,client,Abdrahman son of Mishya and Bashnira daughter of Shahafrid,reported,SRC-7DC4EF76EB0C,object W_1980-0415-27
