identity_id,canonical_object_id,member_ids,display_name,record_status,member_count,source_count,appearance_count,completeness_score,content_completeness,reading_score
IDENT-00411C86E8C1,IBI-00411C86E8C1,"[""IBI-00411C86E8C1""]",Apotropaic index CAIB68,candidate,1,1,1,0,0,0
IDENT-007D77A72CEE,IBI-007D77A72CEE,"[""IBI-007D77A72CEE""]",089M,probable,1,1,1,1,0,0
IDENT-009B8B1331CF,IBI-009B8B1331CF,"[""IBI-009B8B1331CF""]",InscriptiFact dataset 15259838,candidate,1,1,1,4,0,0
IDENT-009F4BEB848B,IBI-009F4BEB848B,"[""IBI-009F4BEB848B""]",Penn B2958: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-00AF5AE402AB,IBI-00AF5AE402AB,"[""IBI-00AF5AE402AB""]",NLI incantation bowl 120 (Ms. Heb. 9467.83),confirmed,1,1,1,4,0,0
IDENT-00D5EF90085E,IBI-00D5EF90085E,"[""IBI-00D5EF90085E""]",NLI incantation bowl 165 (Ms. Heb. 9467.62),confirmed,1,1,1,4,0,0
IDENT-00E095201103,IBI-00E095201103,"[""IBI-00E095201103""]",Penn B8692: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-013FBB80706C,IBI-013FBB80706C,"[""IBI-013FBB80706C"", ""IBI-3E0213A1FBDB"", ""IBI-5AF31C15BFED"", ""IBI-7736310A8752""]",CBS 16007,probable,4,4,4,7,3,8
IDENT-0169FFC4DF9F,IBI-0169FFC4DF9F,"[""IBI-0169FFC4DF9F""]",Schøyen MS 2053/176 (context citation),candidate,1,1,1,1,1,1
IDENT-01B582E3244E,IBI-74B3A0AA8A87,"[""IBI-01B582E3244E"", ""IBI-74B3A0AA8A87""]",British Museum 117882: incantation bowl; lid,probable,2,3,3,6,2,1
IDENT-01CFAFC981BF,IBI-01CFAFC981BF,"[""IBI-01CFAFC981BF""]",Kelsey Museum KM 19504,confirmed,1,1,1,4,3,6
IDENT-01E84A54F778,IBI-4F06EB79A80F,"[""IBI-01E84A54F778"", ""IBI-4F06EB79A80F""]",066A,probable,2,2,2,1,1,0
IDENT-01F4DCFD953A,IBI-01F4DCFD953A,"[""IBI-01F4DCFD953A""]",130Ps,probable,1,1,1,1,0,0
IDENT-01F91982BC30,IBI-01F91982BC30,"[""IBI-01F91982BC30""]",Penn B6357: Hebrew Bowl Sherd,candidate,1,1,1,3,0,2
IDENT-021B030E5BF0,IBI-F504A461BD0B,"[""IBI-021B030E5BF0"", ""IBI-BFEE518DA6B6"", ""IBI-F504A461BD0B""]",CAMIB 35,probable,3,3,3,2,1,1
IDENT-021C540426A3,IBI-021C540426A3,"[""IBI-021C540426A3"", ""IBI-EF1FDA96620B""]",British Museum 117880: incantation bowl,probable,2,3,3,6,2,1
IDENT-023E358F613C,IBI-023E358F613C,"[""IBI-023E358F613C""]",British Museum 117875: incantation bowl,probable,1,1,1,3,0,0
IDENT-023E77FA4EA0,IBI-023E77FA4EA0,"[""IBI-023E77FA4EA0""]",M 164,probable,1,1,1,2,1,1
IDENT-025E789F4093,IBI-025E789F4093,"[""IBI-025E789F4093""]",NLI incantation bowl 42 (Ms. Heb. 9467.167),confirmed,1,1,1,4,0,0
IDENT-02B43ABF13D9,IBI-8516931DE44E,"[""IBI-02B43ABF13D9"", ""IBI-3C9042E76702"", ""IBI-4500756E262F"", ""IBI-8516931DE44E"", ""IBI-907E7D4A3B11""]",Isbell 1975 bowl 23 / AIT 12,confirmed,5,5,5,6,5,10
IDENT-02C3017F6BC7,IBI-02C3017F6BC7,"[""IBI-02C3017F6BC7""]",Penn B16043: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-035BA4ABBE6D,IBI-035BA4ABBE6D,"[""IBI-035BA4ABBE6D""]",Museo Sefardí de Toledo AC-MSEF,confirmed,1,2,3,8,4,8
IDENT-03D1831C4F52,IBI-03D1831C4F52,"[""IBI-03D1831C4F52""]",Apotropaic index C10-118,candidate,1,1,1,0,0,0
IDENT-03DD4136BA32,IBI-03DD4136BA32,"[""IBI-03DD4136BA32"", ""IBI-DF07D8BFA2A2""]",State Hermitage Museum S-446,confirmed,2,2,2,2,1,1
IDENT-046C568A20AD,IBI-046C568A20AD,"[""IBI-046C568A20AD""]",A33965,probable,1,1,1,1,1,1
IDENT-0486433C4AA1,IBI-0486433C4AA1,"[""IBI-0486433C4AA1""]",JBA 07,probable,1,1,1,2,1,1
IDENT-0491BFEF65A7,IBI-0491BFEF65A7,"[""IBI-0491BFEF65A7""]",Schøyen MS 2053/243 (context citation),candidate,1,1,1,1,1,1
IDENT-04E65150CB94,IBI-04E65150CB94,"[""IBI-04E65150CB94""]",Kedem Auction 32 lot 153,candidate,1,1,1,4,2,5
IDENT-04F3BDA44F08,IBI-04F3BDA44F08,"[""IBI-04F3BDA44F08""]",Penn B2980: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-050C99E9C3F3,IBI-E71CB0A6665B,"[""IBI-050C99E9C3F3"", ""IBI-E71CB0A6665B""]",JBA 46,probable,2,2,2,2,1,1
IDENT-0585D0CB4219,IBI-0585D0CB4219,"[""IBI-0585D0CB4219""]",MS 1927/2,probable,1,1,1,2,1,1
IDENT-05936B466DF6,IBI-05936B466DF6,"[""IBI-05936B466DF6""]",Semitics/ICOR Collections H 156,probable,1,1,1,2,0,0
IDENT-05947CF402DF,IBI-05947CF402DF,"[""IBI-05947CF402DF""]",NLI incantation bowl 135 (Ms. Heb. 9467.143),confirmed,1,1,1,4,0,0
IDENT-05D1CD7549AE,IBI-05D1CD7549AE,"[""IBI-05D1CD7549AE""]",Penn B2954: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-05F37B54B501,IBI-05F37B54B501,"[""IBI-05F37B54B501""]",NLI incantation bowl 190 (Ms. Heb. 9467.162),confirmed,1,1,1,4,0,0
IDENT-05FC5CD699B5,IBI-05FC5CD699B5,"[""IBI-05FC5CD699B5""]",NLI incantation bowl 213 (Ms. Heb. 9467.27),confirmed,1,1,1,4,0,0
IDENT-06712C7D2130,IBI-06712C7D2130,"[""IBI-06712C7D2130""]",HS 3053,probable,1,1,1,3,0,0
IDENT-06BD95937A55,IBI-CD3E783556B1,"[""IBI-06BD95937A55"", ""IBI-397771B8038D"", ""IBI-CD3E783556B1""]",CBS 2933,probable,3,3,3,8,2,7
IDENT-06D9A3E90FA7,IBI-06D9A3E90FA7,"[""IBI-06D9A3E90FA7""]","British Museum 1851,1009.102: incantation bowl",probable,1,1,1,3,0,0
IDENT-06DF28395D0E,IBI-06DF28395D0E,"[""IBI-06DF28395D0E""]","British Museum 1980,0415.31.n: incantation bowl",probable,1,1,1,3,0,0
IDENT-070B31F47013,IBI-070B31F47013,"[""IBI-070B31F47013""]",Aaron B,probable,1,1,1,1,1,1
IDENT-071DAEFA6D11,IBI-071DAEFA6D11,"[""IBI-071DAEFA6D11""]",JBA 02,probable,1,1,1,2,1,1
IDENT-07301A4A71CD,IBI-07301A4A71CD,"[""IBI-07301A4A71CD""]",Apotropaic index AMBB9,candidate,1,1,1,0,0,0
IDENT-073B6E935D3A,IBI-073B6E935D3A,"[""IBI-073B6E935D3A""]",Hilprecht Collection HS 3040,confirmed,1,1,1,4,0,0
IDENT-074BAE1D8DED,IBI-074BAE1D8DED,"[""IBI-074BAE1D8DED"", ""IBI-ABD1308F8400""]",053A,probable,2,2,2,1,1,0
IDENT-0764D67E1597,IBI-0764D67E1597,"[""IBI-0764D67E1597""]",Penn B2950: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-078201A1B578,IBI-078201A1B578,"[""IBI-078201A1B578""]",AO 17.284,probable,1,1,1,3,0,0
IDENT-079F0B82D514,IBI-079F0B82D514,"[""IBI-079F0B82D514"", ""IBI-4B7488D77F24"", ""IBI-F9670CEFD548""]",CBS 9008,probable,3,3,3,8,2,7
IDENT-07AB8EBC54E5,IBI-F36154E31E2B,"[""IBI-07AB8EBC54E5"", ""IBI-F36154E31E2B""]",Schøyen MS 1927/64 (context citation),candidate,2,2,2,1,1,1
IDENT-07EF97A1DD2B,IBI-07EF97A1DD2B,"[""IBI-07EF97A1DD2B""]",NLI incantation bowl 147 (Ms. Heb. 9467.189),confirmed,1,1,1,4,0,0
IDENT-0812604AAFBD,IBI-0812604AAFBD,"[""IBI-0812604AAFBD"", ""IBI-5C48844F88FB"", ""IBI-B7DE88C662A8"", ""IBI-C2906E4D88F3"", ""IBI-F9F8F8D64319""]",British Museum 91767: incantation bowl,probable,5,6,6,6,3,2
IDENT-087C6E4D7329,IBI-087C6E4D7329,"[""IBI-087C6E4D7329""]",Isbell 19,probable,1,1,1,1,1,1
IDENT-08C9C37BE59B,IBI-08C9C37BE59B,"[""IBI-08C9C37BE59B""]",British Museum 91757: incantation bowl,probable,1,1,1,3,0,0
IDENT-08DEAA97DEFF,IBI-08DEAA97DEFF,"[""IBI-08DEAA97DEFF""]",NLI Klagsbald donation component 2,candidate,1,1,1,2,0,0
IDENT-08E893BAB0D7,IBI-08E893BAB0D7,"[""IBI-08E893BAB0D7"", ""IBI-3ECE3C33AE7F""]",State Hermitage Museum S-442,confirmed,2,2,2,2,1,1
IDENT-090537791C38,IBI-090537791C38,"[""IBI-090537791C38""]",NLI incantation bowl 164 (Ms. Heb. 9467.58),confirmed,1,1,1,4,0,0
IDENT-09AF8E775E18,IBI-09AF8E775E18,"[""IBI-09AF8E775E18"", ""IBI-95F84D41DE59""]",038A,probable,2,2,2,1,0,0
IDENT-09B23B2CE047,IBI-AB9C12C9719A,"[""IBI-09B23B2CE047"", ""IBI-AB9C12C9719A""]",HS 3003,probable,2,2,2,2,3,3
IDENT-09C22FFFD031,IBI-A2E775143F9F,"[""IBI-09C22FFFD031"", ""IBI-10A05AFD0BE2"", ""IBI-A2E775143F9F"", ""IBI-B050BB4D3D83""]",CBS 2922,probable,4,4,4,7,4,9
IDENT-0A03F807EB9D,IBI-0A03F807EB9D,"[""IBI-0A03F807EB9D""]",Apotropaic index MS2053/188,candidate,1,1,1,0,0,0
IDENT-0A0808CD163E,IBI-0A0808CD163E,"[""IBI-0A0808CD163E"", ""IBI-9DF7057095D2""]",048A,probable,2,2,2,1,1,0
IDENT-0A183C0D3DA4,IBI-0A183C0D3DA4,"[""IBI-0A183C0D3DA4""]",British Museum 91752: incantation bowl,probable,1,1,1,3,0,0
IDENT-0A4638EC11A0,IBI-CCC8B14D56EA,"[""IBI-0A4638EC11A0"", ""IBI-43F005796278"", ""IBI-CCC8B14D56EA""]",British Museum 91742: incantation bowl,probable,3,4,4,6,2,1
IDENT-0A4D195A6EE6,IBI-0A4D195A6EE6,"[""IBI-0A4D195A6EE6""]",NLI Klagsbald donation component 3,candidate,1,1,1,2,0,0
IDENT-0AD30C169821,IBI-0AD30C169821,"[""IBI-0AD30C169821""]",NLI incantation bowl 137 (Ms. Heb. 9467.149),confirmed,1,1,1,4,0,0
IDENT-0B93002906B1,IBI-0B93002906B1,"[""IBI-0B93002906B1""]",Apotropaic index MNdAO1,candidate,1,1,1,0,0,0
IDENT-0B9D7E67D854,IBI-0B9D7E67D854,"[""IBI-0B9D7E67D854""]",MSF 22,probable,1,1,1,1,1,1
IDENT-0BF39B9EA89F,IBI-0BF39B9EA89F,"[""IBI-0BF39B9EA89F""]",JBA 113,probable,1,1,1,2,1,1
IDENT-0C49F8862A63,IBI-0C49F8862A63,"[""IBI-0C49F8862A63""]",NLI incantation bowl 46 (Ms. Heb. 9467.183),confirmed,1,1,1,4,0,0
IDENT-0C53EA838205,IBI-8176C19CFDAF,"[""IBI-0C53EA838205"", ""IBI-8176C19CFDAF""]",NLI incantation bowl 41 (Ms. Heb. 9467.163),confirmed,2,2,2,4,1,0
IDENT-0C91DE9D2AEC,IBI-0C91DE9D2AEC,"[""IBI-0C91DE9D2AEC"", ""IBI-793E7D2CCAFD""]",Apollo Art Auctions 2026 lot 917 warrior bowl,candidate,2,2,2,6,2,4
IDENT-0C99418FFC4A,IBI-0C99418FFC4A,"[""IBI-0C99418FFC4A""]",Apotropaic index MS1927/45,candidate,1,2,2,0,2,0
IDENT-0CCA2AA505A8,IBI-0CCA2AA505A8,"[""IBI-0CCA2AA505A8""]",Apotropaic index CAIB64,candidate,1,1,1,0,0,0
IDENT-0CDECCBBB862,IBI-0CDECCBBB862,"[""IBI-0CDECCBBB862""]",M 117,probable,1,1,1,2,1,1
IDENT-0D8026ACFDC0,IBI-0D8026ACFDC0,"[""IBI-0D8026ACFDC0"", ""IBI-9BB1E32FF0C7""]",CBS 16020,probable,2,2,2,4,2,4
IDENT-0DB8391E62FC,IBI-0DB8391E62FC,"[""IBI-0DB8391E62FC""]",Penn B6349: Hebrew Bowl Sherd,candidate,1,1,1,3,0,2
IDENT-0DC2EC6BA78F,IBI-0DC2EC6BA78F,"[""IBI-0DC2EC6BA78F""]",British Museum 91753: incantation bowl,probable,1,1,1,3,0,0
IDENT-0DDAE5D941C5,IBI-0DDAE5D941C5,"[""IBI-0DDAE5D941C5""]","British Museum 1980,0415.31.k: incantation bowl",probable,1,1,1,3,0,0
IDENT-0DDF3246CBCA,IBI-7F04261178CB,"[""IBI-0DDF3246CBCA"", ""IBI-7F04261178CB"", ""IBI-BA5B79DA23D2""]",CBS 16087,probable,3,3,3,7,2,7
IDENT-0DE175753ED8,IBI-0DE175753ED8,"[""IBI-0DE175753ED8""]",British Museum 132168: incantation bowl,probable,1,1,1,3,0,0
IDENT-0DF80F9636D2,IBI-0DF80F9636D2,"[""IBI-0DF80F9636D2""]",Apotropaic index IM9731,candidate,1,1,1,0,1,0
IDENT-0E5246C8CD17,IBI-0E5246C8CD17,"[""IBI-0E5246C8CD17""]",NLI incantation bowl 28 (Ms. Heb. 9467.110),confirmed,1,1,1,4,0,0
IDENT-0E52F216A762,IBI-0E52F216A762,"[""IBI-0E52F216A762""]",NLI incantation bowl 168 (Ms. Heb. 9467.74),confirmed,1,1,1,4,0,0
IDENT-0E7150957331,IBI-0E7150957331,"[""IBI-0E7150957331""]",Penn B6356: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-0E8D5532FA13,IBI-8D512FDF86E0,"[""IBI-0E8D5532FA13"", ""IBI-8D512FDF86E0""]",061A,probable,2,2,2,1,1,0
IDENT-0EA741BCC672,IBI-0EA741BCC672,"[""IBI-0EA741BCC672"", ""IBI-D1CA2736055D"", ""IBI-D88FF8FE4FCB""]",CAMIB 65,probable,3,3,3,2,2,1
IDENT-0EC7827D64A8,IBI-0EC7827D64A8,"[""IBI-0EC7827D64A8""]",AMB 09,probable,1,1,1,1,1,1
