id,label,object_type,record_status,authenticity
IBI-00411C86E8C1,Apotropaic index CAIB68,uncertain,candidate,unassessed
IBI-007D77A72CEE,089M,whole_bowl,probable,accepted
IBI-009B8B1331CF,InscriptiFact dataset 15259838,uncertain,candidate,unassessed
IBI-009F4BEB848B,Penn B2958: Hebrew Bowl,fragment,candidate,unassessed
IBI-00AF5AE402AB,NLI incantation bowl 120 (Ms. Heb. 9467.83),whole_bowl,confirmed,unassessed
IBI-00D5EF90085E,NLI incantation bowl 165 (Ms. Heb. 9467.62),whole_bowl,confirmed,unassessed
IBI-00E095201103,Penn B8692: Hebrew Bowl,fragment,candidate,unassessed
IBI-013FBB80706C,CBS 16007,whole_bowl,probable,accepted
IBI-0169FFC4DF9F,Schøyen MS 2053/176 (context citation),uncertain,candidate,unassessed
IBI-01B582E3244E,119ES,whole_bowl,probable,accepted
IBI-01CFAFC981BF,Kelsey Museum KM 19504,whole_bowl,confirmed,accepted
IBI-01E84A54F778,Apotropaic index BM066A,fragment,candidate,unassessed
IBI-01F4DCFD953A,130Ps,whole_bowl,probable,pseudo_script
IBI-01F91982BC30,Penn B6357: Hebrew Bowl Sherd,whole_bowl,candidate,unassessed
IBI-021B030E5BF0,035A,whole_bowl,probable,accepted
IBI-021C540426A3,British Museum 117880: incantation bowl,whole_bowl,probable,unassessed
IBI-023E358F613C,British Museum 117875: incantation bowl,whole_bowl,probable,unassessed
IBI-023E77FA4EA0,Waller 2022: M 164,whole_bowl,probable,accepted
IBI-025E789F4093,NLI incantation bowl 42 (Ms. Heb. 9467.167),whole_bowl,confirmed,unassessed
IBI-02B43ABF13D9,Apotropaic index AIT12,uncertain,candidate,unassessed
IBI-02C3017F6BC7,Penn B16043: Hebrew Bowl,fragment,candidate,unassessed
IBI-035BA4ABBE6D,Museo Sefardí de Toledo AC-MSEF,whole_bowl,confirmed,accepted
IBI-03D1831C4F52,Apotropaic index C10-118,uncertain,candidate,unassessed
IBI-03DD4136BA32,State Hermitage Museum S-446,whole_bowl,confirmed,accepted
IBI-046C568A20AD,Waller 2022: A33965,whole_bowl,probable,accepted
IBI-0486433C4AA1,Waller 2022: JBA 07,whole_bowl,probable,accepted
IBI-0491BFEF65A7,Schøyen MS 2053/243 (context citation),uncertain,candidate,unassessed
IBI-04E65150CB94,Kedem Auction 32 lot 153,whole_bowl,candidate,unassessed
IBI-04F3BDA44F08,Penn B2980: Hebrew Bowl,fragment,candidate,unassessed
IBI-050C99E9C3F3,Apotropaic index MS2053/249,uncertain,candidate,unassessed
IBI-0585D0CB4219,Waller 2022: MS 1927/2,whole_bowl,probable,accepted
IBI-05936B466DF6,Semitics/ICOR Collections H 156,whole_bowl,probable,accepted
IBI-05947CF402DF,NLI incantation bowl 135 (Ms. Heb. 9467.143),whole_bowl,confirmed,unassessed
IBI-05D1CD7549AE,Penn B2954: Hebrew Bowl,whole_bowl,candidate,unassessed
IBI-05F37B54B501,NLI incantation bowl 190 (Ms. Heb. 9467.162),whole_bowl,confirmed,unassessed
IBI-05FC5CD699B5,NLI incantation bowl 213 (Ms. Heb. 9467.27),whole_bowl,confirmed,unassessed
IBI-06712C7D2130,HS 3053,whole_bowl,probable,accepted
IBI-06BD95937A55,Penn B2933: Hebrew Bowl,whole_bowl,candidate,unassessed
IBI-06D9A3E90FA7,"British Museum 1851,1009.102: incantation bowl",whole_bowl,probable,unassessed
IBI-06DF28395D0E,"British Museum 1980,0415.31.n: incantation bowl",whole_bowl,probable,unassessed
IBI-070B31F47013,Waller 2022: Aaron B,whole_bowl,probable,accepted
IBI-071DAEFA6D11,Waller 2022: JBA 02,whole_bowl,probable,accepted
IBI-07301A4A71CD,Apotropaic index AMBB9,uncertain,candidate,unassessed
IBI-073B6E935D3A,Hilprecht Collection HS 3040,whole_bowl,confirmed,accepted
IBI-074BAE1D8DED,053A,whole_bowl,probable,accepted
IBI-0764D67E1597,Penn B2950: Hebrew Bowl,whole_bowl,candidate,unassessed
IBI-078201A1B578,AO 17.284,whole_bowl,probable,accepted
IBI-079F0B82D514,CBS 9008,whole_bowl,probable,accepted
IBI-07AB8EBC54E5,Apotropaic index MS1927/64,uncertain,candidate,unassessed
IBI-07EF97A1DD2B,NLI incantation bowl 147 (Ms. Heb. 9467.189),whole_bowl,confirmed,unassessed
IBI-0812604AAFBD,British Museum 91767: incantation bowl,whole_bowl,probable,unassessed
IBI-087C6E4D7329,Waller 2022: Isbell 19,whole_bowl,probable,accepted
IBI-08C9C37BE59B,British Museum 91757: incantation bowl,whole_bowl,probable,unassessed
IBI-08DEAA97DEFF,NLI Klagsbald donation component 2,whole_bowl,candidate,unassessed
IBI-08E893BAB0D7,State Hermitage Museum S-442,whole_bowl,confirmed,accepted
IBI-090537791C38,NLI incantation bowl 164 (Ms. Heb. 9467.58),whole_bowl,confirmed,unassessed
IBI-09AF8E775E18,038A,whole_bowl,probable,accepted
IBI-09B23B2CE047,HS 3003,lost_or_unlocated,probable,accepted
IBI-09C22FFFD031,CBS 2922,whole_bowl,probable,accepted
IBI-0A03F807EB9D,Apotropaic index MS2053/188,uncertain,candidate,unassessed
IBI-0A0808CD163E,048A,whole_bowl,probable,accepted
IBI-0A183C0D3DA4,British Museum 91752: incantation bowl,whole_bowl,probable,unassessed
IBI-0A4638EC11A0,019A,whole_bowl,probable,accepted
IBI-0A4D195A6EE6,NLI Klagsbald donation component 3,whole_bowl,candidate,unassessed
IBI-0AD30C169821,NLI incantation bowl 137 (Ms. Heb. 9467.149),whole_bowl,confirmed,unassessed
IBI-0B93002906B1,Apotropaic index MNdAO1,uncertain,candidate,unassessed
IBI-0B9D7E67D854,Waller 2022: MSF 22,whole_bowl,probable,accepted
IBI-0BF39B9EA89F,Waller 2022: JBA 113,whole_bowl,probable,accepted
IBI-0C49F8862A63,NLI incantation bowl 46 (Ms. Heb. 9467.183),whole_bowl,confirmed,unassessed
IBI-0C53EA838205,NLI Ms. Heb. 9467.163,whole_bowl,probable,unassessed
IBI-0C91DE9D2AEC,Apollo Art Auctions 2026 lot 917 warrior bowl,whole_bowl,candidate,unassessed
IBI-0C99418FFC4A,Apotropaic index MS1927/45,uncertain,candidate,unassessed
IBI-0CCA2AA505A8,Apotropaic index CAIB64,uncertain,candidate,unassessed
IBI-0CDECCBBB862,Waller 2022: M 117,whole_bowl,probable,accepted
IBI-0D8026ACFDC0,CBS 16020,whole_bowl,probable,accepted
IBI-0DB8391E62FC,Penn B6349: Hebrew Bowl Sherd,whole_bowl,candidate,unassessed
IBI-0DC2EC6BA78F,British Museum 91753: incantation bowl,whole_bowl,probable,unassessed
IBI-0DDAE5D941C5,"British Museum 1980,0415.31.k: incantation bowl",whole_bowl,probable,unassessed
IBI-0DDF3246CBCA,Penn B16087: Hebrew Bowl,whole_bowl,candidate,unassessed
