id,source_type,title,authors,issued_year,citation,doi,isbn
SRC-005CE5B783CF,museum_record,Hebrew Bowl 85-48-902,,,"Penn Museum Online Collections, 85-48-902, web object 77485",,
SRC-009F8A38F4F0,museum_record,Hebrew Bowl B2935,,,"Penn Museum Online Collections, B2935, web object 242377",,
SRC-0143DF58AF23,museum_record,Hebrew Bowl Sherd B6354,,,"Penn Museum Online Collections, B6354, web object 68943",,
SRC-0148A161BFB8,museum_record,Hebrew Bowl B16028,,,"Penn Museum Online Collections, B16028, web object 277251",,
SRC-016BB1B186B2,museum_record,קערת השבעה מס' 20,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 20, Ms. Heb. 9467.77, MMS 997008712399305171.",,
SRC-01E58FA07682,article,A New Testament Text on a Syriac Incantation Bowl: Eph. 6:10–17 on IBC 3,Joseph E. Sanzo; Nils H. Korsvoll,2017,"Sanzo, Joseph E., and Nils H. Korsvoll. ‘A New Testament Text on a Syriac Incantation Bowl: Eph. 6:10–17 on IBC 3.’ Vigiliae Christianae 71 (2017): 417–432.",10.1163/15700720-12341310,
SRC-021615946E57,museum_record,Hebrew Bowl 85-48-906,,,"Penn Museum Online Collections, 85-48-906, web object 47074",,
SRC-02623DB1658A,museum_record,Hebrew Bowl B16097,,,"Penn Museum Online Collections, B16097, web object 87498",,
SRC-02B3A526F3D7,other,"Hannu Juusola. — Linguistic Peculiarities in the Aramaic Magic Bowl Texts, 1999 («Studia Orientalia»), 86","Schattner-Rieser, Ursula",2004,"Hannu Juusola. — Linguistic Peculiarities in the Aramaic Magic Bowl Texts, 1999 («Studia Orientalia»), 86 (2004). OpenAlex W7115261533.",,
SRC-03395C3A94A7,museum_record,Mandaic Bowl,Cincinnati Skirball Museum,2021,"Cincinnati Skirball Museum, ‘Mandaic Bowl,’ A/1331, object feature published 17 July 2021.",,
SRC-0383E0E0A2F2,article,An Aramaic Exorcism,Gordon [and others; see citation],1934,———. “ An Aramaic Exorcism.” ArOr 6 (1934): 466–74.,,
SRC-03FD5BEF24F4,article,The (Continued) Online Trade of Aramaic Magic Bowls from Iraq,Nils H. Korsvoll,2020,"Korsvoll, Nils H. ‘The (Continued) Online Trade of Aramaic Magic Bowls from Iraq.’ Journal of Art Crime 23 (2020): 17–32.",,
SRC-04B8D14FB2C9,article,Notes on Semitic Epigraphy,"Shileyko, V. K",1921,"Shileyko, V. K. “Notes on Semitic Epigraphy” [Russian]. Izvestija Rossijskoj Akademii materialnoj kultury 1 (1921): 103–10.",,
SRC-05600A08834D,article,Once Again on the Unique Incantation Bowl BM 135563,Theodore Kwasman; Christa Müller-Kessler,2012,Once Again on the Unique Incantation Bowl BM 135563 (2012). Crossref DOI 10.7817/jameroriesoci.132.2.0189.,10.7817/jameroriesoci.132.2.0189,
SRC-05619C73E4FD,museum_record,Ein Fragment einer Zauberschale(?) aus Nippur,"Frau Professor Hilprecht Collection of Babylonian Antiquities, Friedrich Schiller University Jena",,"Museen Thüringen, ‘Ein Fragment einer Zauberschale(?) aus Nippur,’ HS 3068, portal record dc00001097, accessed 4 September 2026.",,
SRC-05B148D24B4A,museum_record,Hebrew Bowl B2967,,,"Penn Museum Online Collections, B2967, web object 226650",,
SRC-05BB967B7F98,chapter,Une nouvelle coupe magique araméenne,"Abousamra, Gaby",2010,"Abousamra, Gaby. “Une nouvelle coupe magique araméenne.” In Magie et divination dans les cultures de l’Orient: Actes du colloque organisé par l’Institut du Proche-Orient ancien du Collège de France, la Société asiatique et le CNRS (UMR 7192) les 19 et 20 juin 2008, Paris, Collège de France, ed. Jean-Marie Durand and Antoine Jacquet, 109–21. Cahiers de l’Institut du Proche-Orient ancien du Collège de France 3. Paris: J. Maisonneuve, 2010.",,
SRC-05DFD4EEDD2F,museum_record,קערת השבעה מס' 60,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 60, Ms. Heb. 9467.68, MMS 997008712407505171.",,
SRC-06ED81256DF5,auction_record,Aramaic Terracotta Magic Bowl with Cursive Script — lot 1077,TimeLine Auctions,,"TimeLine Auctions, lot 1077, record 224609, “Aramaic Terracotta Magic Bowl with Cursive Script.” Accessed 4 September 2026.",,
SRC-077A37E87487,museum_record,incantation bowl: 91713,The British Museum,,"The British Museum, Collections Online, incantation bowl 91713, Segal 001A; accessed 2026-09-04.",,
SRC-078B374442E9,museum_record,קערת השבעה מס' 193,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 193, Ms. Heb. 9467.174, MMS 997008712399205171.",,
SRC-0814FE138CE9,museum_record,Hebrew Bowl B16052,,,"Penn Museum Online Collections, B16052, web object 97097",,
SRC-083BA71B9B60,museum_record,קערת השבעה מס' 162,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 162, Ms. Heb. 9467.51, MMS 997008712408205171.",,
SRC-08AB5EF50A0D,museum_record,Hebrew Bowl B16048,,,"Penn Museum Online Collections, B16048, web object 312135",,
SRC-08CD8D5C9BC7,museum_record,Hebrew Bowl B8823,,,"Penn Museum Online Collections, B8823, web object 47350",,
SRC-08D27B903CEB,museum_record,Hebrew Bowl Sherd B6350,,,"Penn Museum Online Collections, B6350, web object 198332",,
SRC-09196BAF91BA,thesis,Edition and Analysis of Twenty-Five Unpublished Aramaic Magic Bowl Texts in the Collection of the Vorderasiatisches Museum (Berlin),Anne Burberry,2020,Edition and Analysis of Twenty-Five Unpublished Aramaic Magic Bowl Texts in the Collection of the Vorderasiatisches Museum (Berlin) (2020). OpenAlex W3101650490.,,
SRC-09283C43A93B,museum_record,Hebrew Bowl B16043,,,"Penn Museum Online Collections, B16043, web object 14388",,
SRC-092A7DDA0056,repository,Incantation bowl with Mandaic inscription,Sasanian,,Incantation bowl with Mandaic inscription. Internet Archive item mma_incantation_bowl_with_mandaic_inscription_322404.,,
SRC-095962E3A0BB,museum_record,Hebrew Bowl B16016,,,"Penn Museum Online Collections, B16016, web object 284511",,
SRC-099B1FA96CF2,museum_record,קערת השבעה מס' 210,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 210, Ms. Heb. 9467.8, MMS 997008712410105171.",,
SRC-09F42D0EA81D,article,"Moriggi, Marco: A Corpus of Syriac Incantation Bowls. Syriac Magical Texts from Late-Antique Mesopotamia. 2014.",Erica C. D. Hunter,2018,"Moriggi, Marco: A Corpus of Syriac Incantation Bowls. Syriac Magical Texts from Late-Antique Mesopotamia. 2014. (2018). Crossref DOI 10.1515/olzg-2018-0017.",10.1515/olzg-2018-0017,
SRC-0A0B34FCB8C4,museum_record,קערת השבעה מס' 118,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 118, Ms. Heb. 9467.75, MMS 997008712547305171.",,
SRC-0ACFB1709242,museum_record,Hebrew Bowl B2922,,,"Penn Museum Online Collections, B2922, web object 257210",,
SRC-0B38A2CC8806,article,Bol magique avec inscription araméenne,Abousamra [and others; see citation],2016,"———, and André Lemaire. “Bol magique avec inscription araméenne.” Semitica 58 (2016): 247–55.",,
SRC-0B3B139F8A63,museum_record,קערת השבעה מס' 85,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 85, Ms. Heb. 9467.160, MMS 997008712402405171.",,
SRC-0B6C0E1133EF,book,Jüdisch-babylonische Zaubertexte: Herausgegeben und Erklärt,"Stübe, Rudolf",1895,"Stübe, Rudolf. Jüdisch-babylonische Zaubertexte: Herausgegeben und Erklärt . Halle: J. Krause, 1895.",,
SRC-0B9E40B67D88,article,An Incantation Bowl from the Matenadaran,Gaby Abousamra,2019,"Abousamra, Gaby. ‘An Incantation Bowl from the Matenadaran.’ Semitica 61 (2019): 139–146. DOI: 10.2143/SE.61.0.3286687.",10.2143/SE.61.0.3286687,
SRC-0BB014E762FF,museum_record,Hebrew Bowl B2941,,,"Penn Museum Online Collections, B2941, web object 189411",,
SRC-0BC03D117630,museum_record,incantation bowl: 113189,The British Museum,,"The British Museum, Collections Online, incantation bowl 113189, Segal 139P; accessed 2026-09-04.",,
SRC-0BFD41B92D25,museum_record,Hebrew Bowl B2959,,,"Penn Museum Online Collections, B2959, web object 193276",,
SRC-0C4E120C4D5D,museum_record,קערת השבעה מס' 11,National Library of Israel,,"National Library of Israel, קערת השבעה מס' 11, Ms. Heb. 9467.41, MMS 997008712403105171.",,
SRC-0C4E39F5E15F,article,Linguistic Peculiarities in the Aramaic Magic Bowl Texts,Alison G. Salvesen,2002,Linguistic Peculiarities in the Aramaic Magic Bowl Texts (2002). Crossref DOI 10.18647/2443/jjs-2002.,10.18647/2443/jjs-2002,
SRC-0C4F68A28B03,museum_record,Hebrew Bowl B16045,,,"Penn Museum Online Collections, B16045, web object 68949",,
SRC-0CAE1EF4AE7B,museum_record,Hebrew Bowl 85-48-917,,,"Penn Museum Online Collections, 85-48-917, web object 290797",,
