id,object_id,source_id,text_type,language,script,editor,locator,rights_status,content_status,content,access_citation,access_locator,access_url,access_status
TXT-00BE8F14150E,IBI-49D8C1227586,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 162, distribution table, Shaked 2015: 109-110",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 162, distribution table, Shaked 2015: 109-110",https://doi.org/10.11647/OBP.0305,available
TXT-056D935068B7,IBI-0BF39B9EA89F,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 158, distribution table, JBA 113",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 158, distribution table, JBA 113",https://doi.org/10.11647/OBP.0305,available
TXT-0644079A29FB,IBI-9E632A3F0295,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 155, distribution table, M 102",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 155, distribution table, M 102",https://doi.org/10.11647/OBP.0305,available
TXT-080BA6B9D6AA,IBI-80A2CB091A04,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 157, distribution table, JBA 31",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 157, distribution table, JBA 31",https://doi.org/10.11647/OBP.0305,available
TXT-0826E57BFD02,IBI-49D1BAB76E01,SRC-943673B56FB8,translation,English,,James A. Montgomery,"text 11 translation, printed pp. 170; PDF pp. 176",public_domain,included,"Salvation from Heaven for this Newanduch bath Kaphni, that she be saved (2) by the love of Heaven from the Lilith and the Tormentor. Amen. Amen. Again, fly and refrain (3) and remove from Newanduch b. K., the Lilith and the Tormentor and Fever and Barrenness (4) and Abortion; in the name of him who controls the Demons and Devils and Liliths, and in the name of “I-am-that-I-am.”

For the binding of (5) Bagdana, their king and ruler, the king of Demons and [Devils], the [great] ruler of Liliths. I adjure thee, Lilith Halbas, granddaughter of Lilith Zarni, [dwelling] in the house and dwelling of Newanduch b. K. and [plaguing] boys and girls, (7) that thou be smitten in the courses (?) of thy heart and with the lance of ..., who is powerful ... over you.

Behold I have written for thee (i. e. a divorce), and behold I have separated thee [from N. b. K. etc.], [like the Demons] (8) who write divorces for their wives, and do not return to them. Take thy divorce from Newanduch b. K. and do not appear to her, neither by night nor by day, and do not lie [with her]. And do not (9) kill her sons and daughters. In the name of Memintas (?) keeper of Habgezig (?). Yo, Yad, Yat, Yat, Yat. By the seal on which is carved and engraved the Ineffable Name, since the days of the world, the six days of creation.","Montgomery, James A. Aramaic Incantation Texts from Nippur. University Museum, Babylonian Section, Publications 3. Philadelphia, 1913.","text 11 translation, printed pp. 170; PDF pp. 176",https://archive.org/details/aramaicincantati00mont,available
TXT-084E67A8B31A,IBI-A11621D03F66,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 157, distribution table, JBA 67",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 157, distribution table, JBA 67",https://doi.org/10.11647/OBP.0305,available
TXT-089DEF9EC0AF,IBI-E2E80DC27E79,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 154, distribution table, Isbell 35",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 154, distribution table, Isbell 35",https://doi.org/10.11647/OBP.0305,available
TXT-09E27D32CF5B,IBI-A7A540CDFF87,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 154, distribution table, Isbell 66",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 154, distribution table, Isbell 66",https://doi.org/10.11647/OBP.0305,available
TXT-0C22B904A8D3,IBI-AE853E6EB337,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 156, distribution table, VA 2509",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 156, distribution table, VA 2509",https://doi.org/10.11647/OBP.0305,available
TXT-10391807F6E6,IBI-5A78EABCD168,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 155, distribution table, M 138",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 155, distribution table, M 138",https://doi.org/10.11647/OBP.0305,available
