source_id,title,authors,issued_year,container_title,citation,doi,source_type,access_status,scope,scope_label,scope_basis,objects_published,document_held
SRC-CA4B122C5F4D,Bridging the Gaps: A New Jewish Aramaic Incantation Bowl and Its Parallels,Ohad Abudraham,2026,Journal of Semitic Studies,"Abudraham, Ohad. ‘Bridging the Gaps: A New Jewish Aramaic Incantation Bowl and Its Parallels.’ JSS 71, no. 1 (2026): 105–134.",10.1093/jss/fgaf025,article,available,,Not yet classified,unclassified,0,0
SRC-BFA68E533DE7,"YHBYH, Incantation Bowls and the Tetragrammaton",Pilar B. Rivett; Robert J. Wilkinson,2026,Bulletin de l’Académie Belge pour l’Étude des Langues Anciennes et Orientales,"YHBYH, Incantation Bowls and the Tetragrammaton (2026). OpenAlex W7157594723.",10.14428/babelao.vol15.2026.92593,article,available,,Not yet classified,unclassified,0,0
SRC-2168D49A8168,"1280°C, issue 49",1280°C ceramics journal,2025,,"1280°C, issue 49 (2025), p. 71, caption to incantation bowl no. 139, National Library of Israel collection.",,article,available,,Not yet classified,unclassified,0,0
SRC-85B88C970151,An Unpublished Syriac Bowl (B9002) with a Mandaic Incantation,Simcha Gross; Michele Scarlassara,2025,Aramaic Studies,"Gross, Simcha, and Michele Scarlassara. 'An Unpublished Syriac Bowl (B9002) with a Mandaic Incantation.' Aramaic Studies 23 (2025): 22–54. DOI: 10.1163/17455227-bja10059.",10.1163/17455227-bja10059,article,unknown,,Not yet classified,unclassified,0,0
SRC-F20148C5DA92,Apollo Art Auctions catalogue 10068,Apollo Art Auctions,2025,,"Apollo Art Auctions, auction catalogue 10068, lots 270–273, indexed by The Saleroom, 2025.",,catalogue,partial,catalogue,Collection catalogue,derived,0,0
SRC-17A7CA53F7DB,Arabic Magic Bowl from the Velyki Kuchugury Hillfort,Ali H. Faraj,2025,The World of the Orient,"Faraj, Ali H. ‘Arabic Magic Bowl from the Velyki Kuchugury Hillfort.’ The World of the Orient 2025, no. 2.",10.15407/orientw2025.02.081,article,available,,Not yet classified,unclassified,0,0
SRC-68A2D33D7CF9,"Babylonian Talmud, Bowls, and Jewish Textuality",Shai Secunda,2025,Jewish Quarterly Review,"Secunda, Shai. 'Babylonian Talmud, Bowls, and Jewish Textuality.' Jewish Quarterly Review 115 (2025): 413–451.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-F09573688FD1,"Five earthenware Mandaic incantation bowls in Ābgīne Museum, Tehrān",Ibrāhīm Šafiʿī,2025,Journal of Semitic Studies,"Šafiʿī, Ibrāhīm. ‘Five Earthenware Mandaic Incantation Bowls in Ābgīne Museum, Tehrān.’ Journal of Semitic Studies 70.1 (2025): 1–30, object 108–S.",10.1093/jss/fgae027,article,paywalled,,Not yet classified,unclassified,0,0
SRC-FBBE3A9CAA77,Magic Formulae and Women's History,Avigail Manekin-Bamberger,2025,Jewish Quarterly Review,"Manekin-Bamberger, Avigail. 'Magic Formulae and Women's History.' Jewish Quarterly Review 115 (2025): 1–32. DOI: 10.1353/jqr.2025.a952518.",10.1353/jqr.2025.a952518,article,unknown,,Not yet classified,unclassified,0,0
SRC-30E9800D53CB,Moses in the Aramaic Magic Bowls,Siam Bhayro,2025,Jewish Thought,Moses in the Aramaic Magic Bowls (2025). OpenAlex W7160855334.,10.64166/zyzcyg38,article,available,,Not yet classified,unclassified,0,0
