record_id,authors,year,title,publication_type,scope_cluster,access_status,screening_status,url,last_checked,notes
montgomery1913,"James A. Montgomery",1913,"Aramaic Incantation Texts from Nippur",monograph,foundational_corpus,bibliographic_control,included,https://www.cambridge.org/core/books/aramaic-incantation-texts-from-nippur/BFF2822AEB0115F68E870BA17878D0D2,2026-07-13,"Foundational numbering; readings require recollation"
yamauchi1967,"Edwin M. Yamauchi",1967,"Mandaic Incantation Texts",monograph,mandaic_corpus,contents_verified,included,https://api.pageplace.de/preview/DT0400.9781463210229_A38590117/preview-9781463210229_A38590117.pdf,2026-07-13,"Includes Text 23 / Montgomery 38"
morony2003,"Michael G. Morony",2003,"Magic and Society in Late Sasanian Iraq",chapter,sasanian_social_history,full_text_located,included,,2026-07-13,"Core social-historical orientation"
morony2007,"Michael G. Morony",2007,"Religion and the Aramaic Incantation Bowls",article,religion_and_empire,abstract_and_record,included,https://doi.org/10.1111/j.1749-8171.2007.00029.x,2026-07-13,"Plural religious environment"
segall2000,"J. B. Segal",2000,"Catalogue of the Aramaic and Mandaic Incantation Bowls in the British Museum",museum_catalogue,corpus,bibliographic_control,included,https://www.nypl.org/research/research-catalog/bib/b15468964,2026-07-13,"Core museum corpus"
levene2003,"Dan Levene",2003,"A Corpus of Magic Bowls",monograph,jba_corpus,repository_record,included,https://discovery.ucl.ac.uk/id/eprint/10179220/,2026-07-13,"Core JBA edition"
bohak2008,"Gideon Bohak",2008,"Ancient Jewish Magic: A History",monograph,jewish_magic,bibliographic_control,included,,2026-07-13,"Synthetic context and media-history question"
harari2017,"Yuval Harari",2017,"Jewish Magic before the Rise of Kabbalah",monograph,jewish_magic,publisher_description,included,https://wsupress.wayne.edu/9780814336304/,2026-07-13,"Author identity verified; not Yuval Noah Harari"
mokhtarian2015,"Jason Sion Mokhtarian",2015,"Rabbis, Sorcerers, Kings, and Priests",monograph,bavli_comparison,chapter_record,included,https://academic.oup.com/california-scholarship-online/book/13276/chapter/166607539,2026-07-13,"Major comparative synthesis"
shakedfordbhayro2013,"Shaul Shaked; James Nathan Ford; Siam Bhayro",2013,"Aramaic Bowl Spells, Volume 1",corpus_edition,jba_schoyen,publisher_record,included,https://brill.com/abstract/title/20045,2026-07-13,"Philologically essential; provenance must be recorded separately"
moriggi2014,"Marco Moriggi",2014,"A Corpus of Syriac Incantation Bowls",monograph,syriac_corpus,front_matter,included,https://brill.com/display/book/9789004272798/B9789004272798_001.pdf,2026-07-13,"Primary systematic Syriac corpus"
bhayroetal2018,"Siam Bhayro; James Nathan Ford; Dan Levene; Ortal-Paz Saar",2018,"Aramaic Magic Bowls in the Vorderasiatisches Museum in Berlin",museum_catalogue,berlin_corpus,repository_record,included,https://eprints.soton.ac.uk/393875/,2026-07-13,"177 catalogue entries and selected editions"
fordmorgenstern2019,"James Nathan Ford; Matthew Morgenstern",2019,"Aramaic Incantation Bowls in Museum Collections, Volume 1",museum_catalogue,jena_corpus,publisher_record,included,https://brill.com/abstract/title/38923,2026-07-13,"Preferred current Hilprecht reference"
waller2019a,"Daniel James Waller",2019,"Curious Characters, Invented Scripts, and Charlatans?",article,pseudo_script,bibliographic_control,included,,2026-07-13,"Rejects a single fraud explanation"
waller2019b,"Daniel James Waller",2019,"Transferring Performativity from Speech to Writing",article,writing_and_performance,full_text_open,included,https://www.cambridge.org/core/journals/bulletin-of-the-school-of-oriental-and-african-studies/article/transferring-performativity-from-speech-to-writing-illocutionary-acts-and-incantation-bowls/E748C39E28147479E774B5361C1309AC,2026-07-13,"Material and visual writtenness"
shakedfordbhayro2022,"Shaul Shaked; James Nathan Ford; Siam Bhayro",2022,"Aramaic Bowl Spells, Volume 2",corpus_edition,jba_schoyen,front_matter,included,https://brill.com/display/book/9789004471719/front-1.pdf,2026-07-13,"Adds fifty-five Schøyen bowls"
waller2022,"Daniel James Waller",2022,"The Bible in the Bowls",monograph,bible_and_hebrew,full_text_open,included,https://www.openbookpublishers.com/books/10.11647/obp.0305,2026-07-13,"Controlling catalogue for published JBA biblical quotations through November 2022"
grossmanekin2022,"Simcha Gross; Avigail Manekin-Bamberger",2022,"Babylonian Jewish Society: The Evidence of the Incantation Bowls",article,social_history_and_rabbis,abstract_and_record,included,https://doi.org/10.1353/jqr.2022.0000,2026-07-13,"Heterogeneous scribal proximity to learned milieus"
saar2024,"Ortal-Paz Saar",2024,"Gender and the Mesopotamian Incantation Bowls",article,gender,full_text_open,included,https://research-portal.uu.nl/en/publications/gender-and-the-mesopotamian-incantation-bowls/,2026-07-13,"Role-separation method"
gross2024,"Simcha Gross",2024,"Babylonian Jews and Sasanian Imperialism in Late Antiquity",monograph,sasanian_jewish_history,publisher_excerpt,included,https://doi.org/10.1017/9781009280549,2026-07-13,"Moves Sasanian rule from backdrop to formative context"
marcusmokhtarian2025,"Alexander W. Marcus; Jason Sion Mokhtarian, editors",2025,"Aramaic Incantation Bowls in Their Late Antique Jewish Contexts",edited_volume,state_of_field,table_of_contents_and_publisher_description,included,https://judaicstudies.brown.edu/monograph/aramaic-incantation-bowls-their-late-antique-jewish-contexts,2026-07-13,"Complete volume remains an acquisition priority"
manekin2025,"Avigail Manekin-Bamberger",2025,"Magic Formulae and Women's History",article,gender_and_formulae,abstract_and_record,included,https://doi.org/10.1353/jqr.2025.a952518,2026-07-13,"Challenges direct female-authorship inference from formulaic first-person texts"
grossscarlassara2025,"Simcha Gross; Michele Scarlassara",2025,"An Unpublished Syriac Bowl (B9002) with a Mandaic Incantation",article,syriac_mandaic_transmission,abstract_and_record,included,https://doi.org/10.1163/17455227-bja10059,2026-07-13,"Multispectral cross-script case"
abudraham2026,"Ohad Abudraham",2026,"Bridging the Gaps: A New Mandaic Incantation Bowl and Three Re-editions",article,mandaic_reeditions,full_text_open,included,https://academic.oup.com/jss/article/71/1/105/8303336,2026-07-13,"New object and re-editions"
rivettwilkinson2026,"Pilar B. Rivett; Robert J. Wilkinson",2026,"YHBYH, Incantation Bowls and the Tetragrammaton",article,divine_names,full_text_open,included,https://doi.org/10.14428/babelao.vol15.2026.92593,2026-07-13,"Supports preserving YHBYH independently of YHWH in at least some contexts"
brodie2023,"Neil Brodie",2023,"Academic Ethics and the Schøyen Collection Aramaic Incantation Bowls: A Personal Narrative",article,provenance_ethics,full_text_open,included,https://traffickingculture.org/app/uploads/2024/07/Brodie-2023-Academic-ethics-and-the-Schoyen-Collection-Aramaic-incantation-bowls-a-personal-narrative.pdf,2026-07-13,"Critical reconstruction; read alongside UCL and collection statements"
