record_id,personal_name,sex,parental_name,matronym_or_patronym,language,family_tree,geographical_provenance,present_location,publication,text_number_in_publication,bowl_no_in_sokoloff,additional_references,same_clients_appear_in,same_scribe_as,link_to_photo
921,"בר מחלפתא 
Hamilton 1971, p. 151:
--יחהרמח בת מחלפתא X",M,מחלפתא,Matronym,Syriac,,Unknown,Iraq Museum,Teixidor 1962,Iraq Museum 41382,0,"Hamilton 1971, Text 13.
Not included in Sokoloff.",,,
922,בת אימא X,F,אימא,Matronym,Jewish Aramaic,,Kish,Ashmolean Museum,"Gordon 1941, pp. 279","Not numbered by Gordon. 
Ashmolean Museum 1932.619.",0,Not included in Sokoloff.,,,
923,בת אימא X,F,אימא,Matronym,Jewish Aramaic,,Unknown,Iraq Museum,Gordon 1978,Iraq Museum 9731,113,,,,
924,בת שישאי X,F,שישאי,Matronym?,Jewish Aramaic,זבינא בר ניונדוך = X בת שישאי ?,Unknown,"Unknown (sold by Sotheby's, London?)",Geller 1997,Text A,0,Not included in Sokoloff.,,,
928,X-שרתא פת רובקאי,F,רובקאי,?,Mandaic,,Khouabir,?,Pognon 1898,No. 20,0,Not included in Sokoloff.,,,
931,א[ ] בר אימי,M,אימי,Matronym,Jewish Aramaic,,?,Private collection (Samir Dehays),Unpublished (D. Levene personal file),SD Bowl 11,0,Not included in Sokoloff.,,,
932,אאינה בת מאמה / אינה בת מאמה,F,מאמה,Matronym,Jewish Aramaic,"? = מאמה (ממה) 
! 
רב מארי  /  אינה",Unknown,British Museum,CAMIB,024A (BM 91760),135,"Müller-Kessler 2001/2, p. 122.",,,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402743&partid=1&IdNum=91760&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
933,אבא (בר כומיש),M,כומיש,Matronym mentioned,Jewish Aramaic,"כומיש בת מחלפתא = ?
!
כלתא (?)  /  ארתשריה  /  אבא  /  יזדיד  /  הוניק",Nippur,University of Pennsylvania Museum,AIT,Bowl 17 (CBS 2922),19,"Epstein, p. 345-346. 
CAIB 13.",,,
934,אבא בר ברכיתא,M,ברכיתא,Matronym,Jewish Aramaic,"? = אימי בת רבקא
!
לילי  /  מר","Unknown, purchased in Baghdad.","Royal Museum (presently the Old Museum), Berlin",Wohlstein 1894,inv. No. 2416,120,,"VA 2423 (unpublished, D. Levene personal file).","VA 2423 (unpublished, D. Levene personal file).",
935,אבא בר ברכיתא,M,ברכיתא,Matronym,Jewish Aramaic,"? = אימי בת ריבקא
!
לילי  /  מר",?,Berlin Museum,Unpublished (D. Levene personal file),VA 2423 (unpublished),0,Not included in Sokoloff.,VA 2416 (Wohlstein 1894).,VA 2416 (Wohlstein 1894).,
936,אבאן בר דדי,M,דדי,?,Jewish Aramaic,,Borsippa,British Museum,CAMIB,021A (BM 127396),134,,"The same client, Aban, appears in the partial duplicate bowl CAMIB 022A, written by the same scribe.",CAMIB 022A,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402673&partid=1&IdNum=127396&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
937,אבאן בר דדי,M,דדי,?,Jewish Aramaic,,Borsippa,British Museum,CAMIB,022A (BM 127395),0,Not included in Sokoloff.,"The same client, Aban, appears in the partial duplicate bowl CAMIB 021A, written by the same scribe.",CAMIB 021A,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402697&partid=1&IdNum=127395&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
938,אבאן בר סיסין אנאהיד,M,סיסין אנאהיד,Matronym,Mandaic,,Unknown (said to have come from Khuzistan),Private collection (name not given).,Müller-Kessler 2005,41e - Lead amulet,0,"Lead amulet.
First published by Greenfield & Naveh 1985.
Not included in Sokoloff.",,,
939,אבאן בר סיסין אנאהיד,M,סיסינאנאחיד,Matronym,Mandaic,,Khuzistan? (I am not sure if the editors mean that the amulet was uncovered there or that at present it is found there),?,Greenfield & Naveh 1985,Lead amulet,0,"Lead amulet.
Müller-Kessler 2005, 41e. 
Not included in Sokoloff.",,,
940,"אבאן גושמיס בר אנושפרית /
אבאן גושנס בר אנושפרית",M,אנושפרית,Matronym?,Jewish Aramaic,אבאן גושמיס (אבאן גושנס) בר אנושפרית = לאלי,Kutha (Tell Ibrahim),British Museum,CAMIB,015A (BM 91755),0,"Müller-Kessler 2001/2, p. 121.
Not included in Sokoloff.","The same client, Aban Gušmis (or Gušnas) appears in bowl CAMIB 016A, written by the same scribe. His wife is also mentioned there, but not by name.",CAMIB 016A,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402667&partid=1&IdNum=91755&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
941,אבאן גושנס בר אנושפרית,M,אנושפרית,Matronym?,Jewish Aramaic,,Kutha (Tell Ibrahim),British Museum,CAMIB,016A (BM 91741),0,"Müller-Kessler 2001/2, p. 121.
Not included in Sokoloff.","The same client, Aban Gušmis (or Gušnas) appears in bowl CAMIB 015A, written by the same scribe. His wife is also mentioned there, this time by name (Lalay).",CAMIB 015A,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402665&partid=1&IdNum=91741&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
942,אבדא (בר גושנזדוך),M,גושנזדוך,Matronym,Jewish Aramaic,"באבוי בר אימי (?) = גושנזדוך
!
אבדא  /  זבינא  /  חורמיז",Unknown,British Museum,CAMIB,023A (BM 139524),35,"First published as Geller 1980, Bowl C. 
Müller-Kessler 2001/2, pp. 121-122.",,,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402729&partid=1&IdNum=139524&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
943,אבדראחמאן בר מישויא,M,מישויא,Matronym,Mandaic,אבדראחמאן בר מישויא = בשנירא פת שחפריד,Kutha (Tell Ibrahim),British Museum,CAMIB,081M (BM 117880),0,"Müller-Kessler 2001/2, pp. 131-132.
Not included in Sokoloff.","The same two clients appear in six Mandaic bowls in the British Museum, CAMIB Bowls 077M-082M. Abdrahman bar Mišoya appears without his wife in CAMIB Bowl 076M. Bašniray appears also in CAMIB bowls 083M-085M.",,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=805278&partid=1&IdNum=117880&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
944,"אבדראחמאן בר מעשוי /
אבדראחמאן בר מישויא",M,"מעשוי /
מישויא",Matronym,Mandaic,אבדראחמאן בר מישויא = בשנירא פת שחפריד,Kutha (Tell Ibrahim),British Museum,CAMIB,082M (BM 91709),0,"Müller-Kessler 2001/2, p. 132.
Not included in Sokoloff.","The same two clients appear in six Mandaic bowls in the British Museum, CAMIB Bowls 077M-082M. Abdrahman bar Mišoya appears without his wife in CAMIB Bowl 076M. Bašniray appears also in CAMIB bowls 083M-085M.",,http://www.britishmuseum.org/research/search_the_collection_database/search_object_details.aspx?objectid=1402962&partid=1&IdNum=91709&orig=%2fresearch%2fsearch_the_collection_database%2fmuseum_no__provenance_search.aspx
