jba_no,schoyen_ms,reference,dimensions,clients,biblical_quotations,n_photographs,image_folder
1,MS 1927/8,JBA 1 (MS 1927/8),180x50 mm.,Mahdukh daughter of Newandukh.,Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,17,MS 1927-8
2,MS 1927/29,JBA 2 (MS 1927/29),180x60 mm.,"Gundas son of Rašewandukh;; Mahdukh daughter of Newandukh;; Mihroy daughter of Mahdukh, nicknamed Rašewandukh.",Ps 104:20;; Ex 15:3.,29,MS 1927-29
3,MS 1927/45,JBA 3 (MS 1927/45),180x50 mm.,Mahdukh daughter of Newandukh.,Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,27,MS 1927-45
4,MS 1927/47,JBA 4 (MS 1927/47),185x65 mm.,Mahdukh daughter of Newandukh.,Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,25,MS 1927-47
5,MS 1927/64,JBA 5 (MS 1927/64),190x70 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18;; Zech 3:2.,20,MS 1927-64
6,MS 2053/10,JBA 6 (MS 2053/10),185x55 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,13,MS 2053-10
7,MS 2053/12,JBA 7 (MS 2053/12),183x48 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,15,MS 2053-12
8,MS 2053/55,JBA 8 (MS 2053/55),180x60 mm.,Aḥat daughter of A[---]i (perhaps Aḥati).,Ps 104:20.,15,MS 2053-55
9,MS 2053/183,JBA 9 (MS 2053/183),189x60 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,33,MS 2053-183
10,MS 2053/185,JBA 10 (MS 2053/185),175x70 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 104:20;; Ex 15:3;; Ps 24:8;; Ps 10:16;; Ex 15:18.,16,MS 2053-185
11,MS 2053/79,JBA 11 (MS 2053/79),180x55 mm.,"Farrokh daughter of Aden-xwarrih, nicknamed Anuš.",Ps 24:8;; Ex 15:3;; Ps 10:16;; Ex 15:18.,16,MS 2053-79
12,MS 2053/178,JBA 12 (MS 2053/178),185x65 mm.,Miškoy daughter of Anušfri.,Ps 24:8;; Ex 15:3;; Ps 10:16;; Ex 15:18.,24,MS 2053-178
13,MS 1927/5,JBA 13 (MS 1927/5),140x50 mm.,Abusamka son of Šilta.,,23,MS 1927-5
14,MS 1927/39,JBA 14 (MS 1927/39),155x55 mm.,"Šilay son of Gušnazdukh;; Nanay, his wife.",,18,MS 1927-39
15,MS 1927/43,JBA 15 (MS 1927/43),192x66 mm.,Gundas son of Rašewandukh;; Mahdukh daughter of Newandukh.,Ex 3:15.,20,MS 1927-43
16,MS 1929/16,JBA 16 (MS 1929/16),155x60 mm.,Abba son of Titi;; Maḥlafta daughter of Ašarqum.,,20,MS 1929-16
17,MS 2053/33,JBA 17 (MS 2053/33),170x70 mm.,"Be-Nebo son of Bat-Šappetay;; Maḥlafta daughter of Lalay, his wife.",,14,MS 2053-33
18,MS 2053/103,JBA 18 (MS 2053/103),180x65 mm.,,,15,MS 2053-103
19,MS 2053/132,JBA 19 (MS 2053/132),155x65 mm.,"Hormiz son of Imma;; Šaburdukh daughter of Ṭuṭay, his wife.",,14,MS 2053-132
20,MS 2053/150,JBA 20 (MS 2053/150),150x50 mm.,"Mesanneqa son of Tiqla;; Mama daughter of Hormizdukh, his wife.",,14,MS 2053-150
21,MS 2053/164,JBA 21 (MS 2053/164),155x70 mm.,"Naward son of Nabiya (?);; Yawita, his wife;; Aḥay son of Yawita.",,17,MS 2053-164
22,MS 2053/165,JBA 22 (MS 2053/165),150x52 mm.,Giza son of Duday.,,14,MS 2053-165
23,MS 2053/206,JBA 23 (MS 2053/206),163x55 mm.,"[Farro]kh so[n of Ra]šewandukh;; Dukhtbeh daughter of Gušnaṣp-fri, his wife.",,13,MS 2053-206
24,MS 2053/251,JBA 24 (MS 2053/251),157x58 mm.,"Mattay-Yišu daughter of Bat-Sahde;; Drakhtaq, her husband.",,55,MS 2053-251
25,MS 2053/280,JBA 25 (MS 2053/280),300x150 mm.,"Bahmandad son of Magita;; [---]ta daughter of Immi, his wife.",,20,MS 2053-280
26,MS 1928/43,JBA 26 (MS 1928/43),160x60 mm.,Abudimme son of Daday.,,14,MS 1928-43
27,MS 1927/16,JBA 27 (MS 1927/16),145x60 mm.,"Bar-Sahde son of Aḥata;; Aywi (?), his wife.",,17,MS 1927-16
28,MS 1927/25,JBA 28 (MS 1927/25),180x60 mm.,"Iyyob son of Mihranahid;; Khusro son of Narsedukh;; Mihranahid daughter of Aḥat, nicknamed Kuṭus.",Ps 24:8.,16,MS 1927-25
29,MS 1927/51,JBA 29 (MS 1927/51),180x50 mm.,Mahdukh daughter of Newandukh;; Gundasp son of Rašewandukh.,,19,MS 1927-51
30,MS 1928/47,JBA 30 (MS 1928/47),180x50 mm.,"Farrokh son of Rašewandukh;; Maškoy, his wife.",,15,MS 1928-47
31,MS 2053/41,JBA 31 (MS 2053/41),160x65 mm.,"Bar-Sahde son of Aḥata;; Aywi (?) daughter of Aqrita, his wife.",Num 9:23.,16,MS 2053-41
32,MS 2053/64,JBA 32 (MS 2053/64),155x75 mm.,Bar-Sahde son of Aḥata;; Aywi (?) daughter of Aqrita.,,20,MS 2053-64
33,MS 2053/83,JBA 33 (MS 2053/83),180x60 mm.,[--- son of] Mihranahid.,,16,MS 2053-83
34,MS 2053/86,JBA 34 (MS 2053/86),180x63 mm.,"Dukhtoy daughter of Hormizdukh;; [Bizdad (?)] son of Gušnay, her husband.",Ex 3:14.,16,MS 2053-86
35,MS 2053/89,JBA 35 (MS 2053/89),170x60 mm.,Dukhtay daughter of Hormizdukh.,,14,MS 2053-89
36,MS 2053/110,JBA 36 (MS 2053/110),165-175x60 mm.,Bar-ḥa-be-šabba son of Ḥatay;; Farrokhoy (?) daughter of Aḥata (?);; [---] son of Miray;; Ḥatay daughter of Marba.,,16,MS 2053-110
37,MS 2053/123,JBA 37 (MS 2053/123),180x60 mm.,Dukhtbeh (or Dukhtbe) daughter of Gušnaṣp-fri;; Farrokh son of Rašewandukh.,,16,MS 2053-123
38,MS 2053/151,JBA 38 (MS 2053/151),147x55 mm.,Asmandukh daughter of Khwaruq (?).,,13,MS 2053-151
39,MS 2053/162,JBA 39 (MS 2053/162),180x65 mm.,"Undas son of Rašewandukh;; Mahdukh daughter of Newandukh, his wife.",,13,MS 2053-162
40,MS 2053/167,JBA 40 (MS 2053/167),170x70 mm.,Inoy daughter of Abu;; Iḥay son of Denroy (?).,Ex 3:14.,20,MS 2053-167
41,MS 2053/184,JBA 41 (MS 2053/184),200x65 mm.,Mahdukh daughter of Newandukh.,,16,MS 2053-184
42,MS 2053/190,JBA 42 (MS 2053/190),160x60 mm.,"Bar-Sahde son of Aḥata;; Aywi (?), his wife.",Num 9:23;; Num 10:36.,17,MS 2053-190
43,MS 2053/193,JBA 43 (MS 2053/193),180x50 mm.,"Mihranahid daughter of Aḥat, nicknamed Kuṭus.",,14,MS 2053-193
44,MS 2053/213,JBA 44 (MS 2053/213),180x60 mm.,"[---] son of Sama;; Bat-Nanay, his wife.",,16,MS 2053-213
45,MS 2053/237,JBA 45 (MS 2053/237),160x65 mm.,[---] son of Aḥata;; Yaya or Ḥayya daughter of Aya or Aywi.,,16,MS 2053-237
46,MS 2053/249,JBA 46 (MS 2053/249),160x60 mm.,Drakhtaq son of Mattai-Yišu;; Mattai-Yišu daughter of Bat-Sahde (cf. the names in JBA 24).,Deut 28:57.,15,MS 2053-249
47,MS 2053/258,JBA 47 (MS 2053/258),180x75 mm.,"Undas son of Rašewandukh;; Mahdukh daughter of Newandukh, his wife.",,26,MS 2053-258
48,MS 2053/200,JBA 48 (MS 2053/200),157x65 mm.,Narse son of D[uday] (?);; Hormizdukh daughter of Qaqay;; Gaday and Qaqay children of Hormizdukh.,,18,MS 2053-200
49,MS 2053/270,JBA 49 (MS 2053/270),157x60 mm.,Nar[se] son of Duday;; Hor[mizdukh].,,14,MS 2053-270
50,MS 2053/207,JBA 50 (MS 2053/207),175x70 mm.,Immi daughter of Qaqay,,13,MS 2053-207
